-------------------------------------------------------------------------
data          czas      rozmiar  plik              opis
2017-10-11    23:59       56 kB  ING051.txt        NN Obligacyjny Globalnej Alokacji
2017-10-11    23:59       41 kB  ING052.txt        NN Stabilny Globalnej Alokacji
2017-10-11    23:59      175 kB  KBC001.txt        KBC Aktywny
2017-10-11    23:59      175 kB  KBC003.txt        KBC Pieniezny
2017-10-11    23:59      182 kB  KBC004.txt        KBC Stabilny
2017-10-11    23:59      182 kB  KBC005.txt        KBC Papierow Dluznych
2017-10-11    23:59      152 kB  KBC011.txt        KBC Gamma
2017-10-11    23:59      116 kB  KBC026.txt        KBC Akcyjny
2017-10-11    23:59      106 kB  KBC035.txt        KBC Akcji Malych i Srednich Sp. FIO
2017-10-11    23:59       74 kB  KBC064.txt        KBC Globalny Akcyjny
2017-10-11    23:59       73 kB  KBC065.txt        KBC Obligacji Korporacyjnych
2017-10-11    23:59       71 kB  KBC068.txt        KBC Delta
2017-10-11    23:59       62 kB  KBC070.txt        KBC Globalny Obligacyjny
2017-10-11    23:59       15 kB  KBC077.txt        KBC Sigma Obligacji Plus
2017-10-11    23:59      181 kB  MIL001.txt        MILLENNIUM Akcji
2017-10-11    23:59      181 kB  MIL003.txt        MILLENNIUM Cyklu Koniunkturalnego
2017-10-11    23:59      181 kB  MIL004.txt        MILLENNIUM Depozytowy
2017-10-11    23:59      158 kB  MIL006.txt        MILLENNIUM Stabilnego Wzrostu
2017-10-11    23:59      112 kB  MIL017.txt        MILLENNIUM Dynamicznych Spolek
2017-10-11    23:59      102 kB  MIL019.txt        MILLENNIUM Absolute Return
2017-10-11    23:59      106 kB  MIL020.txt        MILLENNIUM Obligacji Korporacyjnych
2017-10-11    23:59      103 kB  MIL021.txt        MILLENNIUM Globalny Akcji
2017-10-11    23:59      106 kB  MIL022.txt        MILLENNIUM Globalny Stabilnego Wzrostu
2017-10-11    23:59      104 kB  MIL023.txt        MILLENNIUM Globalny Strategii Alternatywnych
2017-10-11    23:59      125 kB  NOB001.txt        NOBLE FUND Pieniezny
2017-10-11    23:59      124 kB  NOB002.txt        NOBLE FUND Mieszany
2017-10-11    23:59      123 kB  NOB003.txt        NOBLE FUND Akcji
2017-10-11    23:59      108 kB  NOB004.txt        NOBLE FUND Akcji Malych i Srednich Spolek
2017-10-11    23:59      110 kB  NOB005.txt        NOBLE FUND Stab. Wzrostu Plus
2017-10-11    23:59      106 kB  NOB006.txt        NOBLE FUND Timingowy
2017-10-11    23:59       98 kB  NOB007.txt        NOBLE FUND Global Return
2017-10-11    23:59       74 kB  NOB010.txt        NOBLE FUND Africa and Frontier
2017-10-11    23:59       40 kB  NOB018.txt        NOBLE FUND Obligacji
2017-10-11    23:59       55 kB  OFT001.txt        OPEN Akcji
2017-10-11    23:59       52 kB  OFT002.txt        OPEN MiS Spolek
2017-10-11    23:59       54 kB  OFT003.txt        OPEN Aktywnej Alokacji
2017-10-11    23:59       56 kB  OFT004.txt        OPEN Obligacji
2017-10-11    23:59       56 kB  OFT005.txt        OPEN Pieniezny
2017-10-11    23:59       56 kB  OFT006.txt        OPEN Stabilnego Wzrostu
2017-10-11    23:59      225 kB  PKO001.txt        PKO Zrownowazony
2017-10-11    23:59      220 kB  PKO002.txt        PKO Stabilnego Wzrostu
2017-10-11    23:59      207 kB  PKO005.txt        PKO Skarbowy
2017-10-11    23:59      132 kB  PKO008.txt        PKO Akcji Nowa Europa
2017-10-11    23:59      136 kB  PKO014.txt        PKO Obligacji Dlugoterminowych
2017-10-11    23:59      130 kB  PKO015.txt        PKO Akcji MiS Spolek
2017-10-11    23:59      111 kB  PKO020.txt        PKO Strategicznej Alokacji
2017-10-11    23:59      110 kB  PKO021.txt        PKO Akcji Plus
2017-10-11    23:59      119 kB  PKO024.txt        PKO Papierow Dluznych Plus
2017-10-11    23:59       83 kB  PKO026.txt        PKO Surowcow Globalny
2017-10-11    23:59       86 kB  PKO027.txt        PKO Technologii i Innowacji Globalny
2017-10-11    23:59       86 kB  PKO028.txt        PKO Dobr Luksusowych Globalny
2017-10-11    23:59       80 kB  PKO029.txt        PKO Infrastruktury i Budownictwa Globalny
2017-10-11    23:59       11 kB  PKO057.txt        PKO Medycyny i Demografii Globalny
2017-10-11    23:59       28 kB  PKO097.txt        PKO Akcji Dywidendowych Globalny
2017-10-11    23:59       43 kB  PKO098.txt        PKO Akcji Rynku Europejskiego
2017-10-11    23:59       27 kB  PKO909.txt        PKO Akcji Rynku Zlota
2017-10-11    23:59       28 kB  PKO910.txt        PKO Papierow Dluznych USD
2017-10-11    23:59       26 kB  PKO913.txt        PKO Akcji Rynku Azji i Pacyfiku
